level_0,index,year,state,state_po,office,candidate,party,candidatevotes,totalvotes,democratvotes,republicanvotes,last_name,first_name,suffix,nickname,bioguide_id
77,77,1978,NORTH DAKOTA,ND,US HOUSE,"ANDREWS, Mark",REPUBLICAN,147712,220314,68016.0,147712.0,ANDREWS,MARK,,,A000208
78,78,1978,NEBRASKA,NE,US HOUSE,"SMITH, Virginia Dodd",REPUBLICAN,141597,176968,77135.0,141597.0,SMITH,VIRGINIA,,,S000622
79,79,1978,NEW HAMPSHIRE,NH,US HOUSE,"CLEVELAND, James Colgate",REPUBLICAN,84535,124081,82697.0,84535.0,CLEVELAND,JAMES,,,C000512
80,80,1978,NEW JERSEY,NJ,US HOUSE,"HUGHES, William John",DEMOCRAT,112768,169765,112768.0,100739.0,HUGHES,WILLIAM,,,H000930
81,81,1978,NEW MEXICO,NM,US HOUSE,"LUJÁN, Manuel, Jr.",REPUBLICAN,118075,188836,95710.0,118075.0,LUJÁN,MANUEL,JR,,L000506
82,82,1978,NEVADA,NV,US HOUSE,"SANTINI, James David",DEMOCRAT,132513,182967,132513.0,44425.0,SANTINI,JAMES,,,S000058
83,83,1978,NEW YORK,NY,US HOUSE,"STRATTON, Samuel Studdiford",DEMOCRAT,139575,182945,139575.0,114641.0,STRATTON,SAMUEL,,,S000997
84,84,1978,OHIO,OH,US HOUSE,"REGULA, Ralph Straus",REPUBLICAN,105152,134792,99975.0,105152.0,REGULA,RALPH,,,R000141
85,85,1978,OKLAHOMA,OK,US HOUSE,"ENGLISH, Glenn Lee, Jr.",DEMOCRAT,103512,139543,103512.0,71451.0,ENGLISH,GLENN,JR,,E000184
86,86,1978,OREGON,OR,US HOUSE,"AuCOIN, Les",DEMOCRAT,158706,252378,158706.0,96953.0,AUCOIN,LES,,,A000337
87,87,1978,PENNSYLVANIA,PA,US HOUSE,"GRAY, William Herbert, III",DEMOCRAT,132594,161759,132594.0,116003.0,GRAY,WILLIAM,III,,G000402
88,88,1978,RHODE ISLAND,RI,US HOUSE,"BEARD, Edward Peter",DEMOCRAT,87397,166122,87397.0,78725.0,BEARD,EDWARD,,,B000279
89,89,1978,SOUTH CAROLINA,SC,US HOUSE,"DERRICK, Butler Carson, Jr.",DEMOCRAT,80968,98892,80968.0,71032.0,DERRICK,BUTLER,JR,,D000267
90,90,1978,SOUTH DAKOTA,SD,US HOUSE,"ABDNOR, James",REPUBLICAN,70780,126296,64683.0,70780.0,ABDNOR,JAMES,,,A000009
91,91,1978,TENNESSEE,TN,US HOUSE,"DUNCAN, John James",REPUBLICAN,125082,152833,108695.0,125082.0,DUNCAN,JOHN,,,D000534
92,92,1978,TEXAS,TX,US HOUSE,"ARCHER, William Reynolds, Jr.",REPUBLICAN,128214,150629,94529.0,128214.0,ARCHER,WILLIAM,JR,,A000215
93,93,1978,UTAH,UT,US HOUSE,"MARRIOTT, David Daniel",REPUBLICAN,121492,195166,93892.0,121492.0,MARRIOTT,DAVID,,,M000143
94,94,1978,VIRGINIA,VA,US HOUSE,"SATTERFIELD, David Edward, III",DEMOCRAT,104550,119217,104550.0,89158.0,SATTERFIELD,DAVID,III,,S000070
95,95,1978,VERMONT,VT,US HOUSE,"JEFFORDS, James Merrill",REPUBLICAN,90688,120502,23228.0,90688.0,JEFFORDS,JAMES,,,J000072
96,96,1978,WASHINGTON,WA,US HOUSE,"PRITCHARD, Joel McFee",REPUBLICAN,99942,156193,85602.0,99942.0,PRITCHARD,JOEL,,,P000546
97,97,1978,WISCONSIN,WI,US HOUSE,"SENSENBRENNER, Frank James, Jr.",REPUBLICAN,118386,193688,110874.0,118386.0,SENSENBRENNER,FRANK,JR,,S000244
98,98,1978,WEST VIRGINIA,WV,US HOUSE,"MOLLOHAN, Robert Homer",DEMOCRAT,76372,120434,76372.0,56272.0,MOLLOHAN,ROBERT,,,M000845
99,99,1978,WYOMING,WY,US HOUSE,"CHENEY, Richard Bruce",REPUBLICAN,75855,129377,53522.0,75855.0,CHENEY,RICHARD,,,C000344
100,100,1980,ALASKA,AK,US HOUSE,"YOUNG, Donald Edwin",REPUBLICAN,114089,154618,39922.0,114089.0,YOUNG,DONALD,,,Y000033
101,101,1980,ALABAMA,AL,US HOUSE,"BEVILL, Tom",DEMOCRAT,129365,132086,129365.0,111089.0,BEVILL,TOM,,,B000431
102,102,1980,ARKANSAS,AR,US HOUSE,"BETHUNE, Edwin Ruthvin, Jr.",REPUBLICAN,159148,201655,42278.0,159148.0,BETHUNE,EDWIN,JR,,B000422
103,103,1980,ARIZONA,AZ,US HOUSE,"RUDD, Eldon Dean",REPUBLICAN,142565,227611,141448.0,142565.0,RUDD,ELDON,,,R000495
104,104,1980,CALIFORNIA,CA,US HOUSE,"BURGENER, Clair Walter",REPUBLICAN,298815,345176,170670.0,298815.0,BURGENER,CLAIR,,,B001080
105,105,1980,COLORADO,CO,US HOUSE,"BROWN, George Hanks (Hank)",REPUBLICAN,178221,260491,153550.0,178221.0,BROWN,GEORGE,,,B000919
106,106,1980,CONNECTICUT,CT,US HOUSE,"MOFFETT, Anthony John, Jr. (Toby)",DEMOCRAT,142685,242024,142685.0,124285.0,MOFFETT,ANTHONY,JR,TOBY,M000839
107,107,1980,DELAWARE,DE,US HOUSE,"EVANS, Thomas Beverley, Jr.",REPUBLICAN,133842,216575,81227.0,133842.0,EVANS,THOMAS,JR,,E000258
108,108,1980,FLORIDA,FL,US HOUSE,"BAFALIS, Louis Arthur (Skip)",REPUBLICAN,272393,345039,201713.0,272393.0,BAFALIS,LOUIS,,SKIP,B000029
109,109,1980,GEORGIA,GA,US HOUSE,"LEVITAS, Elliott Harris",DEMOCRAT,117091,168650,117091.0,96071.0,LEVITAS,ELLIOTT,,,L000265
110,110,1980,HAWAII,HI,US HOUSE,"AKAKA, Daniel Kahikina",DEMOCRAT,141477,157380,141477.0,19819.0,AKAKA,DANIEL,,,A000069
111,111,1980,IOWA,IA,US HOUSE,"LEACH, James Albert Smith",REPUBLICAN,133349,208111,129460.0,133349.0,LEACH,JAMES,,,L000169
112,112,1980,IDAHO,ID,US HOUSE,"CRAIG, Larry Edwin",REPUBLICAN,116845,217542,100697.0,116845.0,CRAIG,LARRY,,,C000858
113,113,1980,ILLINOIS,IL,US HOUSE,"ERLENBORN, John Neal",REPUBLICAN,202583,263828,137283.0,202583.0,ERLENBORN,JOHN,,,E000204
114,114,1980,INDIANA,IN,US HOUSE,"MYERS, John Thomas",REPUBLICAN,137604,208264,136574.0,137604.0,MYERS,JOHN,,,M001130
115,115,1980,KANSAS,KS,US HOUSE,"WHITTAKER, Robert Russell",REPUBLICAN,141029,190047,124014.0,141029.0,WHITTAKER,ROBERT,,,W000426
116,116,1980,KENTUCKY,KY,US HOUSE,"SNYDER, Marion Gene",REPUBLICAN,126049,188187,118565.0,126049.0,SNYDER,MARION,,,S000669
117,117,1980,LOUISIANA,LA,US HOUSE,"MOORE, William Henson, III",REPUBLICAN,118540,130689,103625.0,118540.0,MOORE,WILLIAM,III,,M000923
118,118,1980,MASSACHUSETTS,MA,US HOUSE,"STUDDS, Gerry Eastman",DEMOCRAT,195791,267421,195791.0,156514.0,STUDDS,GERRY,,,S001040
119,119,1980,MARYLAND,MD,US HOUSE,"BARNES, Michael Darr",DEMOCRAT,148301,249960,148301.0,120985.0,BARNES,MICHAEL,,,B000160
